,ID,Count
0,,483.9694936211439
1,,386.2329758945539
2,,326.872060253149
3,,270.0827055762154
4,,227.32942947458923
5,,203.4973377269314
6,,218.81489651530353
7,,253.76748434008886
8,,292.22909180870136
9,,377.6238370134985
10,,535.9941500562147
11,,594.2197946363817
12,,600.5153887032477
13,,531.1090442775538
14,,567.8849462309948
15,,560.7120972531723
16,,546.4008014508979
17,,559.1295981981128
18,,572.8904595464535
19,,607.8946506012953
20,,584.1657653137495
21,,545.2569298513163
22,,547.2350536701404
23,,534.2998440027005
24,,368.81236763474243
25,,294.3315646456678
26,,249.09516001432377
27,,205.81843156159056
28,,173.23799582956923
29,,155.076582147527
30,,166.74943590707863
31,,193.3853020939493
32,,222.6952414609982
33,,287.7709096129274
34,,408.4581241712537
35,,452.8293874795991
36,,457.62698936168323
37,,404.7353948419864
38,,432.760730426401
39,,427.2946102492723
40,,416.3885862987426
41,,426.08865567781936
42,,436.5752171687133
43,,463.2504079611751
44,,445.16764349031416
45,,415.5168908748115
46,,417.0243340891276
47,,407.1669662876876
48,,363.2086796685777
49,,289.85952847875484
50,,245.31043999651635
51,,202.69125262354902
52,,170.60583986707158
53,,152.72036838282298
54,,164.21586629456863
55,,190.44703053563154
56,,219.31163843081717
57,,283.39855519989084
58,,402.25206364844746
59,,445.94915565435235
60,,450.6738633867486
61,,398.5858969927084
62,,426.1854192109138
63,,420.80235056498685
64,,410.0620313481737
65,,419.6147191131276
66,,429.94194912929413
67,,456.21184048291786
68,,438.40382322379
69,,409.20358035307936
70,,410.6881196679033
71,,400.98052345270713
72,,512.1962547160228
73,,408.75940799664426
74,,345.93636012114683
75,,285.83485546714667
76,,240.5880616408503
77,,215.366000547978
78,,231.5769319108095
79,,268.5680745601894
80,,309.2728949164956
81,,399.6481546029365
82,,567.2551675816974
83,,628.8767314931895
84,,635.5395062026744
85,,562.085145675977
86,,601.0059443887601
87,,593.4147502525437
88,,578.2687705850811
89,,591.7399544239299
90,,606.3033964118747
91,,643.3491519687097
92,,618.2363166907464
93,,577.0581844698324
94,,579.1516792555994
95,,565.4620437869319
96,,505.98982815528814
97,,403.8063548975989
98,,341.74455162194147
99,,282.37131386054386
100,,237.6727882037352
101,,212.7563499428183
102,,228.7708488755839
103,,265.31375941054057
104,,305.52534797164486
105,,394.8055051324684
106,,560.3815766360841
107,,621.2564546679882
108,,627.8384946560761
109,,555.2742013447811
110,,593.7233857560698
111,,586.2241762614451
112,,571.261724703825
113,,584.5696744065158
114,,598.9566470580735
115,,635.5535087404738
116,,610.7449727744431
117,,570.0658076021637
118,,572.1339349208251
119,,558.6101806283613
120,,521.3697370366788
121,,416.0803268205
122,,352.1321123439014
123,,290.95418417974895
124,,244.8970160888808
125,,219.22322554778316
126,,235.72449619148412
127,,273.3781536288784
128,,314.8120010845942
129,,406.80589003535465
130,,577.4147601269345
131,,640.1399719505471
132,,646.9220775716527
133,,572.1521426504485
134,,611.7700164699121
135,,604.0428633442261
136,,588.6256177793089
137,,602.3380717673361
138,,617.1623463489874
139,,654.8715948160632
140,,629.3089863343273
141,,587.3933499547084
142,,589.5243394258207
143,,575.589521319069
144,,505.2999802271228
145,,403.255820159931
146,,341.2786296650561
147,,281.9863391930684
148,,237.34875386272603
149,,212.46628575764058
150,,228.45895111136042
151,,264.95204038565345
152,,305.10880594535814
153,,394.26724182243925
154,,559.6175729978413
155,,620.4094564592009
156,,626.9825227359685
157,,554.5171609142295
158,,592.9139251211387
159,,585.4249397730184
160,,570.4828874717331
161,,583.7726936050877
162,,598.1400515870928
163,,634.6870184538186
164,,609.9123055335976
165,,569.2886008394782
166,,571.3539085493915
167,,557.8485920463072
168,,492.61090618482143
169,,393.1292752158795
170,,332.7084535907793
171,,274.90510888047265
172,,231.38846090910596
173,,207.13084040444733
174,,222.72189854908737
175,,258.2985747421337
176,,297.4469251199154
177,,384.3664177185275
178,,545.5644776148754
179,,604.8297575919732
180,,611.2377612763509
181,,540.5921468871071
182,,578.0246929996732
183,,570.7237707691119
184,,556.1569427215654
185,,569.1130157446233
186,,583.1195811749566
187,,618.748781988367
188,,594.5962107244353
189,,554.9926469701682
190,,557.0060907507786
191,,543.8399192462658
192,,377.45392776721536
193,,301.22798173461246
194,,254.93165301963307
195,,210.64091721769034
196,,177.29709657988064
197,,158.71014687411292
198,,170.6565046604618
199,,197.91646987310673
200,,227.91316387678518
201,,294.51360546053354
202,,418.0286151617258
203,,463.43953162078276
204,,468.34954503998966
205,,414.2186593938168
206,,442.90065035082256
207,,437.30645473385744
208,,426.14489417434936
209,,436.0722437104502
210,,446.80451347920797
211,,474.104724703486
212,,455.59826702098354
213,,425.25277424982073
214,,426.7955380290797
215,,416.7072044464477
216,,371.85010573992344
217,,296.7558385799063
218,,251.14684245719963
219,,207.5136634658591
220,,174.66487764639012
221,,156.3538767399831
222,,168.12287443551222
223,,194.9781280203687
224,,224.52947989819324
225,,290.1411464444633
226,,411.82240616679303
227,,456.5591351947161
228,,461.3962527203351
229,,408.06901442560246
230,,436.3251818293544
231,,430.81403973049356
232,,419.8181878689775
233,,429.5981522650373
234,,440.1710867472642
235,,467.06598883642926
236,,448.83428493863846
237,,418.93931269014183
238,,420.459172021962
239,,410.520613608669
240,,520.8378026088983
241,,415.6558153177498
242,,351.7728448598557
243,,290.65733429284984
244,,244.64715664199625
245,,218.99956012811242
246,,235.48399513035986
247,,273.09923592156247
248,,314.4908099418035
249,,406.39084090042866
250,,576.8256450168674
251,,639.4868606065435
252,,646.2620466939354
253,,571.5683967960498
254,,611.1458499513609
255,,603.4265805567095
256,,588.0250646422013
257,,601.7235283161627
258,,616.532678233959
259,,654.2034533373537
260,,628.6669254478528
261,,586.7940540552838
262,,588.922869355967
263,,575.0022684332391
264,,514.6312653749239
265,,410.70267389566914
266,,347.5809616121583
267,,287.1937309242385
268,,241.73183121961193
269,,216.38986298756177
270,,232.67786205695253
271,,269.8448627408394
272,,310.74319617054994
273,,401.5481050756471
274,,569.9519315011133
275,,631.8664478962698
276,,638.5608978226
277,,564.75733101183
278,,603.8631614558021
279,,596.2358783430161
280,,581.017893811031
281,,594.5531204380368
282,,609.1857978726379
283,,646.4076710969048
284,,621.1754479456135
285,,579.8015524992788
